no,category,addr1,addr2,addr3,name,menu,x_code,y_code,food_category1,food_category2,
1,맛녀석,경기,파주시,경기 파주시 숲속노을로 330,맷돌우리콩감자탕,콩비지 감자탕,126.7074701,37.72874653, 한식 , 감자탕,
2,맛녀석,인천,남동구,인천 남동구 용천로 149,부암갈비,생돼지갈비,126.7143364,37.46304022, 한식 ," 육류,고기 ",
3,맛녀석,인천,중구,인천 중구 차이나타운로 36,만다복,짜장면,126.6192905,37.4760963, 중식 , 중국요리,
4,맛녀석,서울,성동구,서울 성동구 독서당로 299-5,은성보쌈,보쌈김치,127.0223157,37.54844908, 한식 ," 육류,고기 ",
5,맛녀석,서울,송파구,서울 송파구 백제고분로15길 48,탕,김치찌개,127.0847829,37.50965247, 한식,-,
6,맛녀석,강원,속초시,강원 속초시 번영로129번길 21,동명항생선숯불구이,생선구이,128.5862661,38.21085185, 한식 ," 해물,생선",
7,맛녀석,서울,종로구,서울 종로구 삼청로 124-2,만정,소고기 구이,126.9820116,37.58633129, 한식 ," 육류,고기",
8,맛녀석,서울,서초구,서울 서초구 남부순환로 2640-11,오대산산채전문점,나물비빔밥,127.0396456,37.48453816, 한식 , 한정식,
9,맛녀석,서울,강서구,서울 강서구 금낭화로15길 12,방화동쭈꾸미마을,쭈꾸미,126.8111209,37.57412266, 한식 ," 해물,생선",
10,맛녀석,서울,송파구,전북 남원시 관서당길 23,가나안,떡볶이,127.3809461,35.40439822, 한식 , 한정식,
11,맛녀석,경기,안양시,경기 안양시 동안구 인덕원로 29-16,에버그린,돈까스,126.9735713,37.40268647, 일식 ," 돈까스,우동",
12,맛녀석,경기,화성시,경기 화성시 경기동로 491,신동태,알탕,127.1248344,37.15174888, 한식 ," 해물,생선",
13,맛녀석,서울,마포구,서울 마포구 와우산로21길 36-12,강수곱창,소곱창구이,126.9221167,37.55296294, 한식 ," 육류,고기 ",
14,맛녀석,서울,마포구,서울 마포구 대흥로 53,군자네,고등어김치찜,126.939501,37.54552006, 한식 ," 해물,생선",
15,맛녀석,경기,고양시,서울 노원구 동일로 1020,싹쓰리 솥뚜껑김치삼겹살,삼겹살,127.0747375,37.62120975, 한식 ," 육류,고기 ",
16,맛녀석,경기,고양시,경기 고양시 일산동구 강촌로26번길 7-13,별미진미,게장,126.7797581,37.64683207, 한식 ," 해물,생선 ",
17,맛녀석,서울,도봉구,서울 도봉구 도당로27길 22,방학사거리짬뽕집,짬뽕,127.0410398,37.66831891, 중식 , 중국요리,
18,맛녀석,경기,고양시,경기 고양시 일산동구 중산로 67,뉴욕엔와이,스테이크,126.781942,37.67810372, 양식 ," 스테이크,립",
19,맛녀석,서울,강남구,서울 강남구 테헤란로25길 34,대우부대찌개,부대찌개,127.0352219,37.50270386, 한식 ," 찌개,전골",
20,맛녀석,경기,용인시,경기 용인시 기흥구 죽전로15번길 16-12,한참치 2호점,참치회,127.110701,37.32184434, 일식 , 참치회,
21,맛녀석,서울,강서구,서울 강서구 강서로 375-8,광주똑순이아구찜,아구찜,126.8378458,37.55936806, 한식 ," 해물,생선 ",
22,맛녀석,경기,남양주시,경기 남양주시 조안면 북한강로 856-31,더수제비 남양주본점,수제비,127.3377828,37.59188238, 한식 , 수제비,
23,맛녀석,서울,서대문구,서울 서대문구 연희맛로 6,청송함흥냉면전문점 본관,냉면,126.9287995,37.56591268, 한식 , 냉면,
24,맛녀석,전북,전주시,전북 전주시 완산구 풍남문2길 39,조점례남문피순대,피순대,127.146923,35.81258178, 한식 , 순대,
25,맛녀석,전북,전주시,전북 전주시 완산구 평화로 146,전주물갈비,물갈비,127.1356862,35.78952266, 한식 ," 육류,고기 ",
26,맛녀석,경기,안양시,경기 안양시 만안구 안양로 343,삼촌식당,카레,126.9183314,37.40208456, 일식,-,
27,맛녀석,서울,강남구,서울 강남구 언주로 536,꽃새우영번지 역삼점,새우,127.0413716,37.50619417, 한식 ," 해물,생선",
28,맛녀석,서울,관악구,서울 서대문구 증가로 135,페리카나,치킨,126.9224852,37.57737296, 치킨 , 페리카나,
29,맛녀석,서울,강북구,충북 충주시 대가미3길 6,땡초닭발,닭발,127.922318,36.98182177, 한식 ," 육류,고기 ",
30,맛녀석,서울,동대문구,서울 동대문구 경동시장로2길 49-4,광주식당,청국장,127.0437856,37.58055458, 한식,-,
31,맛녀석,서울,서초구,서울 서초구 서초대로 339,대가향,탕수육,127.0185139,37.49541312, 중식 , 중국요리,
32,맛녀석,서울,강서구,서울 관악구 신림로 176,유림,닭볶음탕,126.9348651,37.4737652, 자동차 ," 주유,가스 ", S-oil주유소
33,맛녀석,서울,강남구,서울 강남구 언주로146길 18,돌곰네,문어,127.0375332,37.52019705, 한식 ," 해물,생선",
34,맛녀석,서울,종로구,서울 종로구 종로 19,광화문미진,메밀,126.9799234,37.57084467, 한식,-,
35,맛녀석,서울,강남구,경북 경주시 보불로 329,맛자랑,콩국수,129.306232,35.81226517, 한식 , 한정식,
36,맛녀석,서울,강동구,서울 강동구 성내로 52,버섯잔치집,버섯전골,127.1256764,37.52828842, 샤브샤브,-,
