카테고리,지역1,지역2,상호명,메뉴
맛녀석,인천,중구,만정수산,대하구이
맛녀석,서울,마포구,웰빙김치찜,돼지고기 김치찜
맛녀석,서울,은평구,만석장,두부요리
맛녀석,서울,서초구,담뿍화로된장,된장찌개
맛녀석,서울,영등포구,부여집,도가니요리
맛녀석,서울,강남구,초량돼지,돼지껍데기
맛녀석,인천,강화군,서해안횟집,전어요리
맛녀석,인천,강화군,외포왕꽃게탕,꽃게탕
맛녀석,서울,서초구,영광굴비전문점 서초점,굴비구이
맛녀석,서울,영등포구,송원마포돼지갈비,양념돼지갈비
맛녀석,경기,파주시,청산어죽,어죽
맛녀석,경기,고양시,우렁각시쌈밥총각,우렁이쌈밥
맛녀석,경기,성남시,추억의연탄집 미금점,고추장삼겹살
맛녀석,서울,중구,황평집,닭곰탕
맛녀석,서울,용산구,원대구탕,대구탕
맛녀석,서울,강동구,까시,삼치구이
맛녀석,경기,부천시,삼도갈비,한우 생갈비
맛녀석,서울,동작구,팔팔해물탕,해물탕
맛녀석,서울,서초구,하나우동,철판볶음밥
맛녀석,서울,강남구,강남목장,한우특수부위
맛녀석,서울,영등포구,송죽장,짬뽕
맛녀석,서울,마포구,삼국지,훠궈
맛녀석,경기,수원시,진미통닭,통닭
맛녀석,서울,마포구,김앤김대게전문점 서교점,로브스터
맛녀석,서울,용산구,로코스비비큐,립바비큐
맛녀석,부산,동래구,구기영조방낙지,낙곱새
맛녀석,부산,영도구,사랑방,조개구이
맛녀석,부산,남구,내호냉면,밀면
맛녀석,부산,연제구,한방장어구이,양념장어
맛녀석,서울,관악구,김영자나주곰탕,나주곰탕
맛녀석,서울,서초구,강촌원조쭈꾸미,주꾸미삼겹살
맛녀석,서울,마포구,바다회사랑,대방어회
맛녀석,서울,광진구,매화반점,중국요리(깐풍기&깐쇼새우)
맛녀석,서울,서초구,디 안다만,똠양꿍
맛녀석,서울,관악구,까꿍돼지사당삼겹살,냉동삼겹살
맛녀석,경기,성남시,화수목,스키야키
맛녀석,서울,서대문구,야바이,오코노미야키
맛녀석,서울,광진구,개미집,불낙전골
맛녀석,서울,종로구,순라길,홍어삼합
맛녀석,서울,강서구,등촌최월선칼국수,버섯매운탕
맛녀석,서울,서초구,도셰프,화덕피자
맛녀석,서울,강남구,현대기사식당,북어탕
맛녀석,서울,동대문구,먹깨비,꽃게범벅
맛녀석,서울,강남구,무등산,육회비빔밥
맛녀석,서울,강남구,포브라더스,월남쌈
맛녀석,서울,용산구,드래곤힐스파,찜질방음식
맛녀석,경기,의정부시,정통부대고기,부대볶음
맛녀석,서울,광진구,건대통골뱅이,골뱅이탕
맛녀석,경기,의왕시,청운누룽지백숙 본점,누룽지닭백숙
맛녀석,서울,강남구,그릭슈바인,슈바이네학센
맛녀석,전남,완도군,수협회센터,회3종
맛녀석,전남,완도군,일억조식당,전복미역국
맛녀석,경기,양평군,두메향기산,산나물비빔밥
맛녀석,경기,남양주시,매봉골황제능이버섯,해신탕
맛녀석,경기,김포시,진흥관,짜장면&탕수육
맛녀석,전남,순천시,순천만가든,짱뚱어전골
